"longitude (degree: E+, W-)","latitude (degree: N+, S-)",Level 3p (pieces/km2),Level 3w1 (g/km2),Level 3w2 (g/km2)
,,-9999: No data,,
-177.5,-89,-9999,-9999,-9999
-172.5,-89,-9999,-9999,-9999
-167.5,-89,-9999,-9999,-9999
-162.5,-89,-9999,-9999,-9999
-157.5,-89,-9999,-9999,-9999
-152.5,-89,-9999,-9999,-9999
-147.5,-89,-9999,-9999,-9999
-142.5,-89,-9999,-9999,-9999
-137.5,-89,-9999,-9999,-9999
-132.5,-89,-9999,-9999,-9999
-127.5,-89,-9999,-9999,-9999
-122.5,-89,-9999,-9999,-9999
-117.5,-89,-9999,-9999,-9999
-112.5,-89,-9999,-9999,-9999
-107.5,-89,-9999,-9999,-9999
-102.5,-89,-9999,-9999,-9999
-97.5,-89,-9999,-9999,-9999
-92.5,-89,-9999,-9999,-9999
-87.5,-89,-9999,-9999,-9999
-82.5,-89,-9999,-9999,-9999
-77.5,-89,-9999,-9999,-9999
-72.5,-89,-9999,-9999,-9999
-67.5,-89,-9999,-9999,-9999
-62.5,-89,-9999,-9999,-9999
-57.5,-89,-9999,-9999,-9999
-52.5,-89,-9999,-9999,-9999
-47.5,-89,-9999,-9999,-9999
-42.5,-89,-9999,-9999,-9999
-37.5,-89,-9999,-9999,-9999
-32.5,-89,-9999,-9999,-9999
-27.5,-89,-9999,-9999,-9999
-22.5,-89,-9999,-9999,-9999
-17.5,-89,-9999,-9999,-9999
-12.5,-89,-9999,-9999,-9999
-7.5,-89,-9999,-9999,-9999
-2.5,-89,-9999,-9999,-9999
2.5,-89,-9999,-9999,-9999
7.5,-89,-9999,-9999,-9999
12.5,-89,-9999,-9999,-9999
17.5,-89,-9999,-9999,-9999
22.5,-89,-9999,-9999,-9999
27.5,-89,-9999,-9999,-9999
32.5,-89,-9999,-9999,-9999
37.5,-89,-9999,-9999,-9999
42.5,-89,-9999,-9999,-9999
47.5,-89,-9999,-9999,-9999
52.5,-89,-9999,-9999,-9999
57.5,-89,-9999,-9999,-9999
62.5,-89,-9999,-9999,-9999
67.5,-89,-9999,-9999,-9999
72.5,-89,-9999,-9999,-9999
77.5,-89,-9999,-9999,-9999
82.5,-89,-9999,-9999,-9999
87.5,-89,-9999,-9999,-9999
92.5,-89,-9999,-9999,-9999
97.5,-89,-9999,-9999,-9999
102.5,-89,-9999,-9999,-9999
107.5,-89,-9999,-9999,-9999
112.5,-89,-9999,-9999,-9999
117.5,-89,-9999,-9999,-9999
122.5,-89,-9999,-9999,-9999
127.5,-89,-9999,-9999,-9999
132.5,-89,-9999,-9999,-9999
137.5,-89,-9999,-9999,-9999
142.5,-89,-9999,-9999,-9999
147.5,-89,-9999,-9999,-9999
152.5,-89,-9999,-9999,-9999
157.5,-89,-9999,-9999,-9999
162.5,-89,-9999,-9999,-9999
167.5,-89,-9999,-9999,-9999
172.5,-89,-9999,-9999,-9999
177.5,-89,-9999,-9999,-9999
-177.5,-87,-9999,-9999,-9999
-172.5,-87,-9999,-9999,-9999
-167.5,-87,-9999,-9999,-9999
-162.5,-87,-9999,-9999,-9999
-157.5,-87,-9999,-9999,-9999
-152.5,-87,-9999,-9999,-9999
-147.5,-87,-9999,-9999,-9999
-142.5,-87,-9999,-9999,-9999
-137.5,-87,-9999,-9999,-9999
-132.5,-87,-9999,-9999,-9999
-127.5,-87,-9999,-9999,-9999
-122.5,-87,-9999,-9999,-9999
-117.5,-87,-9999,-9999,-9999
-112.5,-87,-9999,-9999,-9999
-107.5,-87,-9999,-9999,-9999
-102.5,-87,-9999,-9999,-9999
-97.5,-87,-9999,-9999,-9999
-92.5,-87,-9999,-9999,-9999
-87.5,-87,-9999,-9999,-9999
-82.5,-87,-9999,-9999,-9999
-77.5,-87,-9999,-9999,-9999
-72.5,-87,-9999,-9999,-9999
-67.5,-87,-9999,-9999,-9999
-62.5,-87,-9999,-9999,-9999
-57.5,-87,-9999,-9999,-9999
-52.5,-87,-9999,-9999,-9999
-47.5,-87,-9999,-9999,-9999
-42.5,-87,-9999,-9999,-9999
-37.5,-87,-9999,-9999,-9999
-32.5,-87,-9999,-9999,-9999
-27.5,-87,-9999,-9999,-9999
-22.5,-87,-9999,-9999,-9999
-17.5,-87,-9999,-9999,-9999
-12.5,-87,-9999,-9999,-9999
-7.5,-87,-9999,-9999,-9999
-2.5,-87,-9999,-9999,-9999
2.5,-87,-9999,-9999,-9999
7.5,-87,-9999,-9999,-9999
12.5,-87,-9999,-9999,-9999
17.5,-87,-9999,-9999,-9999
22.5,-87,-9999,-9999,-9999
27.5,-87,-9999,-9999,-9999
32.5,-87,-9999,-9999,-9999
37.5,-87,-9999,-9999,-9999
42.5,-87,-9999,-9999,-9999
47.5,-87,-9999,-9999,-9999
52.5,-87,-9999,-9999,-9999
57.5,-87,-9999,-9999,-9999
62.5,-87,-9999,-9999,-9999
67.5,-87,-9999,-9999,-9999
72.5,-87,-9999,-9999,-9999
77.5,-87,-9999,-9999,-9999
82.5,-87,-9999,-9999,-9999
87.5,-87,-9999,-9999,-9999
92.5,-87,-9999,-9999,-9999
97.5,-87,-9999,-9999,-9999
102.5,-87,-9999,-9999,-9999
107.5,-87,-9999,-9999,-9999
112.5,-87,-9999,-9999,-9999
117.5,-87,-9999,-9999,-9999
122.5,-87,-9999,-9999,-9999
127.5,-87,-9999,-9999,-9999
132.5,-87,-9999,-9999,-9999
137.5,-87,-9999,-9999,-9999
142.5,-87,-9999,-9999,-9999
147.5,-87,-9999,-9999,-9999
152.5,-87,-9999,-9999,-9999
157.5,-87,-9999,-9999,-9999
162.5,-87,-9999,-9999,-9999
167.5,-87,-9999,-9999,-9999
172.5,-87,-9999,-9999,-9999
177.5,-87,-9999,-9999,-9999
-177.5,-85,-9999,-9999,-9999
-172.5,-85,-9999,-9999,-9999
-167.5,-85,-9999,-9999,-9999
-162.5,-85,-9999,-9999,-9999
-157.5,-85,-9999,-9999,-9999
-152.5,-85,-9999,-9999,-9999
-147.5,-85,-9999,-9999,-9999
-142.5,-85,-9999,-9999,-9999
-137.5,-85,-9999,-9999,-9999
-132.5,-85,-9999,-9999,-9999
-127.5,-85,-9999,-9999,-9999
-122.5,-85,-9999,-9999,-9999
-117.5,-85,-9999,-9999,-9999
-112.5,-85,-9999,-9999,-9999
-107.5,-85,-9999,-9999,-9999
-102.5,-85,-9999,-9999,-9999
-97.5,-85,-9999,-9999,-9999
-92.5,-85,-9999,-9999,-9999
-87.5,-85,-9999,-9999,-9999
-82.5,-85,-9999,-9999,-9999
-77.5,-85,-9999,-9999,-9999
-72.5,-85,-9999,-9999,-9999
-67.5,-85,-9999,-9999,-9999
-62.5,-85,-9999,-9999,-9999
-57.5,-85,-9999,-9999,-9999
-52.5,-85,-9999,-9999,-9999
-47.5,-85,-9999,-9999,-9999
-42.5,-85,-9999,-9999,-9999
-37.5,-85,-9999,-9999,-9999
-32.5,-85,-9999,-9999,-9999
-27.5,-85,-9999,-9999,-9999
-22.5,-85,-9999,-9999,-9999
-17.5,-85,-9999,-9999,-9999
-12.5,-85,-9999,-9999,-9999
-7.5,-85,-9999,-9999,-9999
-2.5,-85,-9999,-9999,-9999
2.5,-85,-9999,-9999,-9999
7.5,-85,-9999,-9999,-9999
12.5,-85,-9999,-9999,-9999
17.5,-85,-9999,-9999,-9999
22.5,-85,-9999,-9999,-9999
27.5,-85,-9999,-9999,-9999
32.5,-85,-9999,-9999,-9999
37.5,-85,-9999,-9999,-9999
42.5,-85,-9999,-9999,-9999
47.5,-85,-9999,-9999,-9999
52.5,-85,-9999,-9999,-9999
57.5,-85,-9999,-9999,-9999
62.5,-85,-9999,-9999,-9999
67.5,-85,-9999,-9999,-9999
72.5,-85,-9999,-9999,-9999
77.5,-85,-9999,-9999,-9999
82.5,-85,-9999,-9999,-9999
87.5,-85,-9999,-9999,-9999
92.5,-85,-9999,-9999,-9999
97.5,-85,-9999,-9999,-9999
102.5,-85,-9999,-9999,-9999
107.5,-85,-9999,-9999,-9999
112.5,-85,-9999,-9999,-9999
117.5,-85,-9999,-9999,-9999
122.5,-85,-9999,-9999,-9999
127.5,-85,-9999,-9999,-9999
132.5,-85,-9999,-9999,-9999
137.5,-85,-9999,-9999,-9999
142.5,-85,-9999,-9999,-9999
147.5,-85,-9999,-9999,-9999
152.5,-85,-9999,-9999,-9999
157.5,-85,-9999,-9999,-9999
162.5,-85,-9999,-9999,-9999
167.5,-85,-9999,-9999,-9999
172.5,-85,-9999,-9999,-9999
177.5,-85,-9999,-9999,-9999
-177.5,-83,-9999,-9999,-9999
-172.5,-83,-9999,-9999,-9999
-167.5,-83,-9999,-9999,-9999
-162.5,-83,-9999,-9999,-9999
-157.5,-83,-9999,-9999,-9999
-152.5,-83,-9999,-9999,-9999
